ZIP Code,Home1MCount,HomeValueGrowth,Recreational Vessel Count,Area,Median_Income,Mean_Income,Private School Count,Wealth Score,Rank
32579,44,0,55,Shalimar,98014,98014,1,1.42941825,223
34223,247,0,74,Englewood,70155,70155,1,1.42879194,224
34229,138,0,109,Osprey,93949,93949,1,1.425447196,225
34982,46,0,42,Fort Pierce,54025,54025,3,1.425282676,226
33155,63,0,115,Miami,79271,79271,0,1.420713401,227
33428,24,0,35,Boca Raton,85939,85939,0,1.419750947,228
34771,32,0,18,Saint Cloud,101434,101434,1,1.418366729,229
33175,119,0,140,Miami,79711,79711,0,1.415821143,230
33579,14,0,10,Riverview,113568,113568,0,1.415806792,231
34241,95,0,43,Sarasota,113114,113114,0,1.411869159,232
32550,172,0,55,Miramar Beach,96269,96269,0,1.409467116,233
33462,258,0,110,Lake Worth,72288,72288,0,1.407764961,234
32065,15,0,26,Orange Park,92842,92842,1,1.406419231,235
32207,219,0,53,Jacksonville,60875,60875,1,1.401821567,236
33060,80,0,208,Pompano Beach,59757,59757,1,1.401180223,237
33702,70,0,112,Saint Petersburg,65503,65503,1,1.400706192,238
34221,140,0,168,Palmetto,74314,74314,0,1.397945377,239
32566,34,0,51,Navarre,99501,99501,0,1.396825994,240
33404,113,0,162,West Palm Beach,60225,60225,1,1.390828854,241
33042,127,0,153,Summerland Key,101625,101625,0,1.390096358,242
32224,54,0,80,Jacksonville,80774,80774,0,1.386493643,243
32825,16,0,13,Orlando,79942,79942,1,1.386313042,244
33165,30,0,74,Miami,84086,84086,0,1.38451478,245
33930,0,0,2,Felda,138222,138222,0,1.38290103,246
32803,69,0,14,Orlando,101401,101401,0,1.382095639,247
34211,11,0,22,Bradenton,118565,118565,0,1.379707886,248
32707,59,0,21,Casselberry,66780,66780,2,1.372151089,249
33027,23,0,64,Hollywood,73450,73450,0,1.363378834,250
32827,61,0,11,Orlando,112026,112026,0,1.361577591,251
33132,27,0,45,Miami,109505,109505,0,1.360145876,252
33145,61,0,52,Miami,70592,70592,1,1.360080925,253
32605,33,0,17,Gainesville,83114,83114,1,1.356085327,254
33185,13,0,48,Miami,107146,107146,0,1.352932551,255
33919,71,0,187,Fort Myers,73336,73336,0,1.351639124,256
33065,30,0,37,Coral Springs,70435,70435,1,1.351198943,257
33173,26,0,71,Miami,83053,83053,0,1.349940417,258
33407,92,0,39,West Palm Beach,56606,56606,2,1.349463376,259
34239,259,0,77,Sarasota,76378,76378,0,1.348042661,260
33435,299,0,142,Boynton Beach,66612,66612,0,1.347828909,261
32837,22,0,20,Orlando,86649,86649,1,1.344514338,262
33810,13,0,15,Lakeland,69738,69738,2,1.343041361,263
34210,133,0,60,Bradenton,64306,64306,1,1.340170422,264
33880,109,0,9,Winter Haven,56803,56803,2,1.331505655,265
33436,118,0,56,Boynton Beach,76011,76011,0,1.329248382,266
